program_code,year,placed_count,placed_pref_rank_avg,placed_top_1_pref_count,placed_top_3_pref_count,placed_top_10_pref_count
202751595,2023,13,3.0,7,8,12
112370767,2023,42,4.8,5,22,39
106650578,2023,74,5.0,19,40,65
104251232,2023,119,4.2,54,80,104
110390142,2023,96,7.4,20,36,71
208750390,2023,1,3.0,0,1,1
208750166,2023,67,2.7,34,54,65
201650044,2023,10,3.4,1,7,10
102350381,2023,91,7.6,13,34,66
101451503,2023,84,3.4,37,58,81
105190068,2023,64,6.2,16,28,51
203050829,2023,13,2.7,3,10,13
203051121,2023,76,2.6,37,62,74
203550384,2023,6,3.0,2,4,6
109490179,2023,64,6.1,17,28,53
101850264,2023,91,8.0,18,29,61
203150316,2023,12,5.4,5,6,10
201450037,2023,68,2.1,36,61,67
109590015,2023,54,7.4,13,29,37
102090060,2023,64,4.9,23,40,54
104390105,2023,54,3.4,24,37,51
210400822,2023,1,4.0,0,0,1
201650026,2023,11,4.5,5,6,10
201150076,2023,15,4.7,3,6,14
100751363,2023,79,3.1,44,61,74
200651857,2023,8,3.4,0,5,8
104351443,2023,84,6.6,12,33,66
102790186,2023,64,5.5,4,22,60
100890075,2023,42,4.3,19,32,36
300250508,2023,10,5.3,0,5,8
108251017,2023,79,2.8,45,63,75
200690734,2023,40,5.7,8,21,34
204751871,2023,41,3.5,19,31,37
200290135,2023,7,3.4,3,3,7
206050874,2023,33,5.0,5,16,30
207450549,2023,58,6.0,18,27,45
300590394,2023,23,4.2,5,15,21
108950224,2023,106,3.8,51,77,97
208150161,2023,7,4.9,3,3,6
102690216,2023,79,5.1,26,41,69
108750544,2023,91,4.2,42,61,81
206410608,2023,43,3.0,10,36,43
109850725,2023,69,5.5,26,35,58
204050032,2023,23,3.6,9,17,21
106450598,2023,74,8.2,16,30,52
200390120,2023,42,3.1,17,31,41
206050847,2023,16,5.2,3,6,14
103290212,2023,69,6.0,12,25,59
204050014,2023,53,3.5,21,39,47
206050856,2023,9,4.2,4,6,8
106490148,2023,74,6.9,12,29,59
204190560,2023,18,2.9,7,15,17
300550568,2023,17,2.6,11,12,16
203550375,2023,30,4.7,1,17,28
208450307,2023,51,2.3,22,45,50
205052476,2023,12,5.7,1,4,11
201050456,2023,74,4.7,12,41,64
301390061,2023,17,4.1,4,10,17
108890302,2023,32,1.6,24,29,32
210400815,2023,12,4.3,3,4,11
208450316,2023,10,3.9,1,4,10
206850681,2023,67,3.3,30,52,62
101090558,2023,64,2.4,37,54,62
200290149,2023,37,3.9,5,22,36
205550439,2023,53,5.6,13,28,44
206410606,2023,8,4.0,2,6,7
204751862,2023,7,3.7,2,3,7
103990106,2023,79,3.3,39,61,73
105951028,2023,69,4.7,26,36,61
201050447,2023,14,1.9,11,11,14
210400829,2023,74,2.3,43,61,73
208750165,2023,11,4.5,3,7,10
201790264,2023,50,3.7,20,40,45
209210080,2023,8,4.1,1,5,8
207450522,2023,10,8.4,1,1,7
208150188,2023,39,3.5,12,25,37
107050218,2023,64,4.7,17,37,56
103150017,2023,106,2.7,71,85,100
112910010,2023,74,4.4,11,45,66
109252993,2023,106,3.8,41,68,98
106150583,2023,106,5.6,30,51,92
205850206,2023,9,5.6,1,3,8
102190030,2023,54,5.0,22,29,44
208150152,2023,2,1.5,1,2,2
201450028,2023,11,3.3,3,6,11
102551305,2023,111,6.5,20,47,88
112070694,2023,54,3.5,28,34,52
201250709,2023,11,3.9,1,4,11
101150853,2023,106,2.7,78,90,100
206850672,2023,11,5.5,2,5,9
105651058,2023,116,2.3,81,101,112
111750659,2023,96,3.2,21,77,91
107250525,2023,74,2.3,47,58,71
105350875,2023,104,3.9,55,68,92
204050023,2023,12,1.3,10,12,12
300350491,2023,15,4.6,3,12,13
205052485,2023,70,3.3,18,43,68
202353108,2023,12,6.6,1,4,9
103650012,2023,74,5.7,25,37,61
205550448,2023,10,1.7,8,9,10
104790037,2023,78,7.6,11,24,59
203150325,2023,68,2.9,29,56,64
202390591,2023,33,4.8,6,16,28
202390584,2023,30,6.9,4,12,24
202453576,2023,11,3.7,3,8,10
101370256,2023,74,7.2,17,32,54
210200101,2023,9,2.0,3,9,9
107690200,2023,64,4.9,15,29,59
202751647,2023,82,3.5,29,59,75
205850515,2023,51,5.7,7,21,43
206290197,2023,50,2.5,27,44,48
301390109,2023,18,5.3,3,9,15
210200108,2023,42,4.6,8,26,38
103050778,2023,156,2.8,100,128,148
210300101,2023,9,4.2,0,5,9
107050254,2023,64,6.1,19,30,52
300150509,2023,10,4.1,5,5,9
106870265,2023,85,4.8,31,55,73
106951697,2023,74,3.8,25,47,69
107790206,2023,27,4.1,18,20,23
206250457,2023,8,4.1,0,3,8
210300108,2023,56,4.5,21,42,47
202550696,2023,10,1.2,9,10,10
